size,fine,medium,coarse
110.8 ,0.111 ,0.138 ,0.187 
112.7 ,0.110 ,0.136 ,0.186 
114.6 ,0.110 ,0.134 ,0.185 
116.6 ,0.109 ,0.131 ,0.184 
118.6 ,0.108 ,0.129 ,0.183 
120.6 ,0.108 ,0.128 ,0.181 
122.7 ,0.108 ,0.126 ,0.179 
124.8 ,0.107 ,0.124 ,0.177 
127.0 ,0.107 ,0.123 ,0.174 
129.2 ,0.107 ,0.122 ,0.171 
131.4 ,0.107 ,0.121 ,0.168 
133.6 ,0.107 ,0.120 ,0.165 
135.9 ,0.108 ,0.119 ,0.161 
138.3 ,0.108 ,0.119 ,0.157 
140.7 ,0.109 ,0.118 ,0.153 
143.1 ,0.110 ,0.118 ,0.148 
145.5 ,0.110 ,0.118 ,0.144 
148.0 ,0.111 ,0.118 ,0.140 
150.6 ,0.113 ,0.118 ,0.135 
153.2 ,0.114 ,0.119 ,0.130 
155.8 ,0.115 ,0.120 ,0.125 
158.5 ,0.117 ,0.120 ,0.120 
161.2 ,0.118 ,0.122 ,0.114 
164.0 ,0.120 ,0.123 ,0.109 
166.8 ,0.122 ,0.124 ,0.104 
169.7 ,0.123 ,0.126 ,0.098 
172.6 ,0.125 ,0.128 ,0.093 
175.6 ,0.127 ,0.130 ,0.087 
178.6 ,0.130 ,0.132 ,0.082 
181.7 ,0.132 ,0.134 ,0.077 
184.8 ,0.134 ,0.137 ,0.071 
188.0 ,0.136 ,0.139 ,0.066 
191.2 ,0.139 ,0.142 ,0.061 
194.5 ,0.141 ,0.145 ,0.056 
197.8 ,0.144 ,0.149 ,0.051 
201.2 ,0.147 ,0.152 ,0.047 
204.7 ,0.149 ,0.155 ,0.042 
208.2 ,0.152 ,0.159 ,0.038 
211.8 ,0.154 ,0.163 ,0.035 
215.4 ,0.157 ,0.167 ,0.031 
219.2 ,0.160 ,0.171 ,0.028 
222.9 ,0.163 ,0.175 ,0.026 
226.8 ,0.165 ,0.180 ,0.024 
230.7 ,0.168 ,0.184 ,0.022 
234.6 ,0.171 ,0.189 ,0.021 
238.7 ,0.173 ,0.193 ,0.021 
242.8 ,0.176 ,0.198 ,0.021 
246.9 ,0.179 ,0.203 ,0.021 
251.2 ,0.181 ,0.208 ,0.022 
255.5 ,0.184 ,0.212 ,0.024 
259.9 ,0.186 ,0.217 ,0.027 
264.4 ,0.188 ,0.222 ,0.030 
268.9 ,0.191 ,0.227 ,0.033 
273.6 ,0.193 ,0.232 ,0.038 
278.3 ,0.195 ,0.237 ,0.043 
283.0 ,0.197 ,0.242 ,0.049 
287.9 ,0.199 ,0.247 ,0.055 
292.9 ,0.201 ,0.252 ,0.062 
297.9 ,0.203 ,0.257 ,0.070 
303.0 ,0.205 ,0.261 ,0.078 
308.2 ,0.206 ,0.266 ,0.088 
313.5 ,0.207 ,0.270 ,0.097 
318.9 ,0.209 ,0.275 ,0.108 
324.4 ,0.210 ,0.279 ,0.119 
330.0 ,0.211 ,0.283 ,0.131 
335.7 ,0.212 ,0.287 ,0.144 
341.5 ,0.213 ,0.291 ,0.157 
347.3 ,0.213 ,0.295 ,0.171 
353.3 ,0.214 ,0.298 ,0.185 
359.4 ,0.214 ,0.302 ,0.200 
365.6 ,0.214 ,0.305 ,0.215 
371.9 ,0.214 ,0.308 ,0.231 
378.2 ,0.214 ,0.311 ,0.248 
384.8 ,0.213 ,0.313 ,0.265 
391.4 ,0.212 ,0.316 ,0.282 
398.1 ,0.212 ,0.318 ,0.299 
405.0 ,0.211 ,0.319 ,0.317 
411.9 ,0.210 ,0.321 ,0.336 
419.0 ,0.208 ,0.322 ,0.354 
426.2 ,0.207 ,0.323 ,0.373 
433.5 ,0.205 ,0.324 ,0.392 
441.0 ,0.203 ,0.325 ,0.411 
448.6 ,0.201 ,0.325 ,0.430 
456.3 ,0.199 ,0.325 ,0.449 
464.2 ,0.197 ,0.325 ,0.468 
472.1 ,0.195 ,0.324 ,0.487 
480.3 ,0.192 ,0.324 ,0.506 
488.5 ,0.189 ,0.323 ,0.525 
496.9 ,0.186 ,0.321 ,0.543 
505.5 ,0.183 ,0.320 ,0.561 
514.2 ,0.180 ,0.318 ,0.579 
523.0 ,0.177 ,0.316 ,0.597 
532.0 ,0.174 ,0.313 ,0.614 
541.2 ,0.171 ,0.311 ,0.631 
550.5 ,0.167 ,0.308 ,0.647 
559.9 ,0.163 ,0.305 ,0.663 
569.6 ,0.160 ,0.302 ,0.679 
579.4 ,0.156 ,0.298 ,0.693 
589.3 ,0.152 ,0.295 ,0.707 
599.5 ,0.148 ,0.291 ,0.721 
609.8 ,0.145 ,0.287 ,0.734 
620.3 ,0.141 ,0.283 ,0.746 
631.0 ,0.137 ,0.278 ,0.757 
641.8 ,0.133 ,0.274 ,0.768 
652.9 ,0.129 ,0.269 ,0.778 
664.1 ,0.125 ,0.264 ,0.787 
675.5 ,0.121 ,0.259 ,0.795 
687.1 ,0.117 ,0.254 ,0.802 
698.9 ,0.113 ,0.249 ,0.808 
711.0 ,0.109 ,0.244 ,0.814 
723.2 ,0.105 ,0.238 ,0.818 
735.6 ,0.101 ,0.233 ,0.822 
748.3 ,0.097 ,0.227 ,0.825 
761.2 ,0.093 ,0.222 ,0.827 
774.3 ,0.089 ,0.216 ,0.828 
787.6 ,0.085 ,0.211 ,0.828 
801.1 ,0.081 ,0.205 ,0.827 
814.9 ,0.078 ,0.199 ,0.825 
828.9 ,0.074 ,0.194 ,0.823 
843.2 ,0.070 ,0.188 ,0.819 
857.7 ,0.067 ,0.182 ,0.815 
872.5 ,0.063 ,0.177 ,0.810 
887.5 ,0.060 ,0.171 ,0.804 
902.7 ,0.057 ,0.166 ,0.797 
918.3 ,0.053 ,0.160 ,0.789 
934.1 ,0.050 ,0.155 ,0.781 
950.1 ,0.047 ,0.149 ,0.772 
966.5 ,0.044 ,0.144 ,0.762 
983.1 ,0.041 ,0.139 ,0.751 
1000.0 ,0.038 ,0.134 ,0.740 
1017.2 ,0.036 ,0.129 ,0.728 
1034.7 ,0.033 ,0.124 ,0.716 
1052.5 ,0.031 ,0.119 ,0.703 
1070.6 ,0.028 ,0.114 ,0.689 
1089.0 ,0.026 ,0.109 ,0.675 
1107.8 ,0.024 ,0.104 ,0.660 
1126.8 ,0.022 ,0.100 ,0.645 
1146.2 ,0.020 ,0.095 ,0.630 
1165.9 ,0.018 ,0.091 ,0.614 
1186.0 ,0.016 ,0.087 ,0.597 
1206.4 ,0.015 ,0.082 ,0.580 
1227.1 ,0.013 ,0.078 ,0.563 
1248.2 ,0.012 ,0.074 ,0.546 
1269.7 ,0.010 ,0.070 ,0.528 
1291.6 ,0.009 ,0.066 ,0.510 
1313.8 ,0.008 ,0.063 ,0.492 
1336.4 ,0.007 ,0.059 ,0.473 
1359.4 ,0.006 ,0.056 ,0.455 
1382.7 ,0.005 ,0.052 ,0.436 
1406.5 ,0.004 ,0.049 ,0.418 
1430.7 ,0.003 ,0.046 ,0.399 
1455.3 ,0.003 ,0.043 ,0.380 
1480.4 ,0.002 ,0.040 ,0.362 
1505.8 ,0.002 ,0.037 ,0.343 
1531.7 ,0.001 ,0.035 ,0.325 
1558.1 ,0.001 ,0.032 ,0.307 
1584.9 ,0.001 ,0.030 ,0.289 
1612.2 ,0.000 ,0.027 ,0.272 
1639.9 ,0.000 ,0.025 ,0.255 
1668.1 ,0.000 ,0.023 ,0.238 
1696.8 ,0.000 ,0.021 ,0.222 
1726.0 ,0.000 ,0.019 ,0.206 
1755.7 ,0.000 ,0.017 ,0.191 
1785.9 ,0.000 ,0.015 ,0.176 
1816.6 ,0.000 ,0.014 ,0.162 
1847.9 ,0.000 ,0.012 ,0.149 
1879.6 ,0.000 ,0.011 ,0.135 
1912.0 ,0.000 ,0.009 ,0.122 
1944.9 ,0.000 ,0.008 ,0.110 
1978.3 ,0.000 ,0.007 ,0.097 
2012.4 ,0.000 ,0.006 ,0.086 
2047.0 ,0.000 ,0.005 ,0.075 
2082.2 ,0.000 ,0.004 ,0.065 
2118.0 ,0.000 ,0.003 ,0.055 
2154.4 ,0.000 ,0.002 ,0.047 
2191.5 ,0.000 ,0.002 ,0.039 
2229.2 ,0.000 ,0.001 ,0.032 
2267.5 ,0.000 ,0.001 ,0.025 
2306.6 ,0.000 ,0.001 ,0.020 
2346.2 ,0.000 ,0.000 ,0.014 
2386.6 ,0.000 ,0.000 ,0.010 
2427.7 ,0.000 ,0.000 ,0.006 
2469.4 ,0.000 ,0.000 ,0.003 
2511.9 ,0.000 ,0.000 ,0.000 
2555.1 ,0.000 ,0.000 ,0.000 
2599.1 ,0.000 ,0.000 ,0.000 
2643.8 ,0.000 ,0.000 ,0.000 
2689.2 ,0.000 ,0.000 ,0.000 
2735.5 ,0.000 ,0.000 ,0.000 
0.0 ,0.000 ,0.000 ,0.000 
0.0 ,0.000 ,0.000 ,0.000 
0.0 ,0.000 ,0.000 ,0.000 
